iter	Passed	Remaining
0	31	221843
1	48	170951
2	65	153773
3	87	153673
4	107	149936
5	125	146035
6	143	143547
7	163	142687
8	184	143373
9	205	143759
10	228	144906
11	248	144950
12	268	144367
13	287	143569
14	307	143185
15	326	142725
16	348	143256
17	369	143335
18	390	143416
19	411	143506
20	431	143309
21	448	142390
22	467	141963
23	486	141431
24	505	140923
25	524	140574
26	543	140308
27	563	140225
28	582	140046
29	602	140046
30	623	140079
31	644	140372
32	664	140208
33	682	139925
34	703	139897
35	721	139614
36	742	139664
37	761	139424
38	780	139344
39	799	139127
40	818	138913
41	837	138824
42	858	138856
43	879	139106
44	899	139092
45	919	138997
46	939	138923
47	958	138812
48	976	138535
49	995	138421
50	1015	138388
51	1032	138006
52	1050	137705
53	1072	137899
54	1089	137579
55	1109	137537
56	1127	137323
57	1146	137240
58	1164	137052
59	1183	136933
60	1202	136823
61	1221	136690
62	1240	136622
63	1259	136516
64	1279	136527
65	1302	136839
66	1323	136979
67	1343	136989
68	1362	136905
69	1384	137087
70	1405	137204
71	1425	137144
72	1446	137216
73	1465	137200
74	1486	137237
75	1506	137263
76	1526	137243
77	1547	137353
78	1567	137329
79	1586	137243
80	1606	137184
81	1626	137228
82	1646	137192
83	1668	137375
84	1687	137246
85	1708	137367
86	1728	137376
87	1751	137591
88	1773	137698
89	1791	137573
90	1812	137590
91	1829	137385
92	1851	137477
93	1873	137642
94	1895	137744
95	1921	138203
96	1942	138250
97	1963	138254
98	1984	138340
99	2005	138405
100	2025	138386
101	2042	138130
102	2063	138145
103	2083	138152
104	2105	138229
105	2126	138292
106	2147	138370
107	2167	138302
108	2188	138327
109	2205	138163
110	2223	137986
111	2240	137767
112	2256	137532
113	2278	137643
114	2297	137539
115	2315	137422
116	2338	137550
117	2359	137606
118	2375	137385
119	2393	137219
120	2411	137109
121	2431	137089
122	2450	136992
123	2468	136869
124	2485	136720
125	2502	136539
126	2522	136492
127	2539	136321
128	2559	136354
129	2579	136300
130	2597	136224
131	2616	136133
132	2635	136058
133	2651	135866
134	2669	135739
135	2687	135629
136	2707	135607
137	2728	135687
138	2748	135654
139	2768	135642
140	2785	135480
141	2804	135449
142	2827	135604
143	2845	135484
144	2862	135330
145	2879	135165
146	2899	135185
147	2922	135299
148	2942	135279
149	2961	135220
150	2981	135248
151	3002	135288
152	3019	135139
153	3038	135058
154	3058	135062
155	3076	134954
156	3093	134831
157	3111	134730
158	3129	134647
159	3149	134640
160	3168	134577
161	3185	134454
162	3205	134459
163	3223	134365
164	3245	134452
165	3264	134381
166	3283	134365
167	3303	134338
168	3322	134299
169	3341	134231
170	3359	134164
171	3378	134126
172	3398	134104
173	3416	134040
174	3434	133952
175	3453	133894
176	3473	133903
177	3492	133840
178	3510	133773
179	3528	133695
180	3548	133686
181	3576	133968
182	3594	133884
183	3611	133790
184	3629	133705
185	3646	133596
186	3663	133482
187	3681	133400
188	3697	133251
189	3718	133262
190	3737	133250
191	3754	133142
192	3773	133077
193	3792	133060
194	3813	133071
195	3832	133035
196	3850	132959
197	3868	132879
198	3885	132804
199	3907	132855
200	3923	132727
201	3941	132635
202	3958	132532
203	3974	132420
204	3992	132334
205	4012	132320
206	4032	132325
207	4049	132241
208	4070	132254
209	4090	132255
210	4114	132395
211	4135	132421
212	4158	132493
213	4179	132517
214	4196	132442
215	4215	132413
216	4235	132409
217	4255	132379
218	4273	132330
219	4290	132223
220	4306	132109
221	4326	132082
222	4345	132069
223	4365	132046
224	4384	132023
225	4405	132045
226	4429	132161
227	4447	132104
228	4467	132107
229	4485	132017
230	4502	131939
231	4521	131890
232	4539	131827
233	4556	131752
234	4576	131741
235	4594	131675
236	4613	131641
237	4632	131603
238	4652	131622
239	4671	131593
240	4691	131575
241	4708	131501
242	4728	131470
243	4746	131424
244	4764	131362
245	4783	131321
246	4800	131246
247	4819	131227
248	4837	131151
249	4855	131111
250	4875	131102
251	4895	131100
252	4914	131056
253	4933	131030
254	4952	130990
255	4970	130933
256	4990	130941
257	5009	130904
258	5030	130926
259	5052	130987
260	5074	131025
261	5094	131014
262	5115	131033
263	5134	131016
264	5152	130956
265	5172	130951
266	5190	130880
267	5207	130821
268	5229	130841
269	5249	130850
270	5268	130821
271	5288	130812
272	5306	130764
273	5325	130716
274	5343	130680
275	5363	130661
276	5384	130684
277	5404	130684
278	5427	130734
279	5448	130772
280	5470	130807
281	5490	130794
282	5510	130803
283	5530	130776
284	5546	130690
285	5564	130632
286	5582	130576
287	5599	130497
288	5616	130422
289	5634	130378
290	5652	130319
291	5669	130251
292	5687	130183
293	5705	130128
294	5724	130100
295	5741	130035
296	5759	129983
297	5782	130049
298	5802	130034
299	5819	129963
300	5836	129905
301	5853	129833
302	5871	129780
303	5889	129726
304	5908	129703
305	5926	129646
306	5944	129597
307	5963	129566
308	5985	129604
309	6003	129561
310	6020	129499
311	6038	129443
312	6055	129376
313	6072	129304
314	6090	129263
315	6109	129237
316	6128	129196
317	6146	129157
318	6164	129102
319	6181	129048
320	6200	129005
